angry,disgust,fear,happy,neutral,sad,surprise
15.1442307692,0.560897435897,6.16987179487,22.1153846154,24.0384615385,28.0448717949,3.92628205128
17.2747580045,0.595681310499,6.25465376024,18.242740134,28.7416232316,25.39091586,3.49962769918
16.9917641959,1.08365843086,9.01603814478,20.892934547,23.1902904205,25.7043779801,3.12093628088
14.0073899899,1.10849848841,8.26335236816,20.9271078267,24.9244205576,27.2757809876,3.49344978166
17.4520069808,1.13438045375,7.41710296684,23.5165794066,23.5165794066,22.5567190227,4.40663176265
16.691198116,1.00088313218,8.56638210185,21.1068589932,25.4636443921,23.0791875184,4.09184574625
16.3332120771,1.03674063296,8.45762095307,25.1909785377,25.118224809,20.1164059658,3.74681702437
18.1715829768,0.765593334834,8.42152668318,19.9279441567,25.692411619,22.7426255348,4.27831569466
16.6888592987,0.998668442077,8.67731913005,17.9760319574,25.011096316,26.4980026631,4.15002219263
17.7172874881,0.764087870105,7.30659025788,16.953199618,26.8385864374,26.3132760267,4.10697230181
