,path,filename,movie-name,year-of-release,size,trailer,movie
36,/home/mayank/Desktop/gender-bias-detection/official-trailers/2017-mubarakan/2017-mubarakan.mp4,2017-mubarakan.mp4,mubarakan,2017,11942223,1,0
37,/home/mayank/Desktop/gender-bias-detection/official-trailers/2009-paa/2009-paa.mp4,2009-paa.mp4,paa,2009,447427862,0,1
38,/home/mayank/Desktop/gender-bias-detection/official-trailers/2012-dangerous_ishq/2012-dangerous_ishq.mp4,2012-dangerous_ishq.mp4,dangerous_ishq,2012,7172750,1,0
39,/home/mayank/Desktop/gender-bias-detection/official-trailers/2012-luv_shuv_tey_chicken_khurana/2012-luv_shuv_tey_chicken_khurana.mp4,2012-luv_shuv_tey_chicken_khurana.mp4,luv_shuv_tey_chicken_khurana,2012,13183535,1,0
40,/home/mayank/Desktop/gender-bias-detection/official-trailers/2015-masaan/2015-masaan.mp4,2015-masaan.mp4,masaan,2015,8724450,1,0
41,/home/mayank/Desktop/gender-bias-detection/official-trailers/2017-kaalakaandi/2017-kaalakaandi.mp4,2017-kaalakaandi.mp4,kaalakaandi,2017,2551485,1,0
42,/home/mayank/Desktop/gender-bias-detection/official-trailers/2010-toonpur_ka_super_hero/2010-toonpur_ka_super_hero.mp4,2010-toonpur_ka_super_hero.mp4,toonpur_ka_super_hero,2010,12341265,1,0
43,/home/mayank/Desktop/gender-bias-detection/official-trailers/2015-main_aur_charles/2015-main_aur_charles.mp4,2015-main_aur_charles.mp4,main_aur_charles,2015,8086540,1,0
44,/home/mayank/Desktop/gender-bias-detection/official-trailers/2010-we_are_family/2010-we_are_family.mp4,2010-we_are_family.mp4,we_are_family,2010,7269394,1,0
45,/home/mayank/Desktop/gender-bias-detection/official-trailers/2014-the_shaukeens/2014-the_shaukeens.mp4,2014-the_shaukeens.mp4,the_shaukeens,2014,12897824,1,0
46,/home/mayank/Desktop/gender-bias-detection/official-trailers/2013-ramaiya_vastavaiya/2013-ramaiya_vastavaiya.mp4,2013-ramaiya_vastavaiya.mp4,ramaiya_vastavaiya,2013,12869774,1,0
47,/home/mayank/Desktop/gender-bias-detection/official-trailers/2014-dekh_tamasha_dekh/2014-dekh_tamasha_dekh.mp4,2014-dekh_tamasha_dekh.mp4,dekh_tamasha_dekh,2014,13111237,1,0
48,"/home/mayank/Desktop/gender-bias-detection/official-trailers/2009-three_-_love,_lies_and_betrayal/2009-three_-_love,_lies_and_betrayal.mp4","2009-three_-_love,_lies_and_betrayal.mp4",three_,2009,395636897,0,1
49,/home/mayank/Desktop/gender-bias-detection/official-trailers/2017-noor/2017-noor.mp4,2017-noor.mp4,noor,2017,9247146,1,0
50,/home/mayank/Desktop/gender-bias-detection/official-trailers/2009-kurbaan/2009-kurbaan.mp4,2009-kurbaan.mp4,kurbaan,2009,4882514,1,0
51,/home/mayank/Desktop/gender-bias-detection/official-trailers/2013-i_don't_luv_u/2013-i_don't_luv_u.mp4,2013-i_don't_luv_u.mp4,i_don't_luv_u,2013,9896895,1,0
52,/home/mayank/Desktop/gender-bias-detection/official-trailers/2017-ranchi_diaries/2017-ranchi_diaries.mp4,2017-ranchi_diaries.mp4,ranchi_diaries,2017,4946199,1,0
53,/home/mayank/Desktop/gender-bias-detection/official-trailers/2008-black_and_white/2008-black_and_white.mp4,2008-black_and_white.mp4,black_and_white,2008,7489507,1,0
54,/home/mayank/Desktop/gender-bias-detection/official-trailers/2010-khuda_kasam/2010-khuda_kasam.mp4,2010-khuda_kasam.mp4,khuda_kasam,2010,401352044,0,1
55,/home/mayank/Desktop/gender-bias-detection/official-trailers/2013-lootera/2013-lootera.mp4,2013-lootera.mp4,lootera,2013,6682883,1,0
56,/home/mayank/Desktop/gender-bias-detection/official-trailers/2017-chef/2017-chef.mp4,2017-chef.mp4,chef,2017,8448598,1,0
57,/home/mayank/Desktop/gender-bias-detection/official-trailers/2010-ramaa:_the_saviour/2010-ramaa:_the_saviour.mp4,2010-ramaa:_the_saviour.mp4,ramaa:_the_saviour,2010,560303347,0,1
58,/home/mayank/Desktop/gender-bias-detection/official-trailers/2016-tum_bin_2/2016-tum_bin_2.mp4,2016-tum_bin_2.mp4,tum_bin_2,2016,5968668,1,0
59,/home/mayank/Desktop/gender-bias-detection/official-trailers/2016-rebellious_flower/2016-rebellious_flower.mp4,2016-rebellious_flower.mp4,rebellious_flower,2016,10581058,1,0
60,/home/mayank/Desktop/gender-bias-detection/official-trailers/2012-agent_vinod/2012-agent_vinod.mp4,2012-agent_vinod.mp4,agent_vinod,2012,12472393,1,0
61,/home/mayank/Desktop/gender-bias-detection/official-trailers/2017-laali_ki_shaadi_mein_laaddoo_deewana/2017-laali_ki_shaadi_mein_laaddoo_deewana.mp4,2017-laali_ki_shaadi_mein_laaddoo_deewana.mp4,laali_ki_shaadi_mein_laaddoo_deewana,2017,13784777,1,0
62,/home/mayank/Desktop/gender-bias-detection/official-trailers/2017-love_you_family/2017-love_you_family.mp4,2017-love_you_family.mp4,love_you_family,2017,10463287,1,0
63,/home/mayank/Desktop/gender-bias-detection/official-trailers/2014-fugly/2014-fugly.mp4,2014-fugly.mp4,fugly,2014,11180141,1,0
64,/home/mayank/Desktop/gender-bias-detection/official-trailers/2014-mumbai_125_km_/2014-mumbai_125_km_.mp4,2014-mumbai_125_km_.mp4,mumbai_125_km_,2014,5224545,1,0
65,/home/mayank/Desktop/gender-bias-detection/official-trailers/2015-kuch_kuch_locha_hai/2015-kuch_kuch_locha_hai.mp4,2015-kuch_kuch_locha_hai.mp4,kuch_kuch_locha_hai,2015,14285338,1,0
66,/home/mayank/Desktop/gender-bias-detection/official-trailers/2008-jimmy/2008-jimmy.mp4,2008-jimmy.mp4,jimmy,2008,431413782,0,1
67,/home/mayank/Desktop/gender-bias-detection/official-trailers/2010-robot/2010-robot.mp4,2010-robot.mp4,robot,2010,11594075,1,0
68,/home/mayank/Desktop/gender-bias-detection/official-trailers/2011-patiala_house/2011-patiala_house.mp4,2011-patiala_house.mp4,patiala_house,2011,11509884,1,0
69,/home/mayank/Desktop/gender-bias-detection/official-trailers/2012-zindagi_tere_naam/2012-zindagi_tere_naam.mp4,2012-zindagi_tere_naam.mp4,zindagi_tere_naam,2012,409746512,0,1
70,/home/mayank/Desktop/gender-bias-detection/official-trailers/2015-nh10/2015-nh10.mp4,2015-nh10.mp4,nh10,2015,9369544,1,0
71,/home/mayank/Desktop/gender-bias-detection/official-trailers/2014-super_nani/2014-super_nani.mp4,2014-super_nani.mp4,super_nani,2014,13521208,1,0
72,/home/mayank/Desktop/gender-bias-detection/official-trailers/2014-ungli/2014-ungli.mp4,2014-ungli.mp4,ungli,2014,8494646,1,0
73,/home/mayank/Desktop/gender-bias-detection/official-trailers/2011-saheb_biwi_aur_gangster/2011-saheb_biwi_aur_gangster.mp4,2011-saheb_biwi_aur_gangster.mp4,saheb_biwi_aur_gangster,2011,6669308,1,0
74,/home/mayank/Desktop/gender-bias-detection/official-trailers/2011-yeh_faasley/2011-yeh_faasley.mp4,2011-yeh_faasley.mp4,yeh_faasley,2011,7299288,1,0
75,/home/mayank/Desktop/gender-bias-detection/official-trailers/2009-kal_kissne_dekha/2009-kal_kissne_dekha.mp4,2009-kal_kissne_dekha.mp4,kal_kissne_dekha,2009,420764069,0,1
76,/home/mayank/Desktop/gender-bias-detection/official-trailers/2009-straight/2009-straight.mp4,2009-straight.mp4,straight,2009,5493168,1,0
77,/home/mayank/Desktop/gender-bias-detection/official-trailers/2016-teraa_surroor/2016-teraa_surroor.mp4,2016-teraa_surroor.mp4,teraa_surroor,2016,15616271,1,0
78,/home/mayank/Desktop/gender-bias-detection/official-trailers/2011-no_one_killed_jessica/2011-no_one_killed_jessica.mp4,2011-no_one_killed_jessica.mp4,no_one_killed_jessica,2011,8140004,1,0
79,/home/mayank/Desktop/gender-bias-detection/official-trailers/2015-hunterrr/2015-hunterrr.mp4,2015-hunterrr.mp4,hunterrr,2015,9465250,1,0
80,/home/mayank/Desktop/gender-bias-detection/official-trailers/2013-the_lunchbox/2013-the_lunchbox.mp4,2013-the_lunchbox.mp4,the_lunchbox,2013,7333233,1,0
81,/home/mayank/Desktop/gender-bias-detection/official-trailers/2014-zed_plus/2014-zed_plus.mp4,2014-zed_plus.mp4,zed_plus,2014,12995812,1,0
82,/home/mayank/Desktop/gender-bias-detection/official-trailers/2010-prince_-_it's_showtime/2010-prince_-_it's_showtime.mp4,2010-prince_-_it's_showtime.mp4,prince_,2010,526831232,0,1
83,/home/mayank/Desktop/gender-bias-detection/official-trailers/2014-rang_rasiya/2014-rang_rasiya.mp4,2014-rang_rasiya.mp4,rang_rasiya,2014,11968894,1,0
84,/home/mayank/Desktop/gender-bias-detection/official-trailers/2011-zokkomon/2011-zokkomon.mp4,2011-zokkomon.mp4,zokkomon,2011,9445200,1,0
85,"/home/mayank/Desktop/gender-bias-detection/official-trailers/2010-shahrukh_bola_""khoobsurat_hai_tu""/2010-shahrukh_bola_""khoobsurat_hai_tu"".mp4","2010-shahrukh_bola_""khoobsurat_hai_tu"".mp4","shahrukh_bola_""khoobsurat_hai_tu""",2010,6067179,1,0
