,frame_number,gender,emotion,year,movie_name
166,133,woman,fear,2012,chal_pichchur_banate_hai
167,133,man,sad,2012,chal_pichchur_banate_hai
168,136,man,sad,2012,chal_pichchur_banate_hai
170,46,man,fear,2012,chal_pichchur_banate_hai
172,134,man,sad,2012,chal_pichchur_banate_hai
173,134,man,angry,2012,chal_pichchur_banate_hai
174,119,man,fear,2012,chal_pichchur_banate_hai
175,113,man,angry,2012,chal_pichchur_banate_hai
176,100,man,happy,2012,chal_pichchur_banate_hai
177,100,woman,happy,2012,chal_pichchur_banate_hai
178,127,man,sad,2012,chal_pichchur_banate_hai
179,47,woman,sad,2012,chal_pichchur_banate_hai
180,48,man,sad,2012,chal_pichchur_banate_hai
182,126,man,angry,2012,chal_pichchur_banate_hai
183,95,man,sad,2012,chal_pichchur_banate_hai
184,101,man,happy,2012,chal_pichchur_banate_hai
185,101,woman,happy,2012,chal_pichchur_banate_hai
186,34,man,happy,2012,chal_pichchur_banate_hai
188,93,man,disgust,2015,second_half_husband
189,122,woman,happy,2015,second_half_husband
190,85,woman,happy,2015,second_half_husband
191,51,man,fear,2015,second_half_husband
192,98,man,angry,2015,second_half_husband
193,60,woman,happy,2015,second_half_husband
194,132,woman,fear,2015,second_half_husband
195,94,man,angry,2015,second_half_husband
196,61,woman,fear,2015,second_half_husband
197,4,man,happy,2015,second_half_husband
198,11,man,fear,2015,second_half_husband
199,131,man,fear,2015,second_half_husband
200,131,man,fear,2015,second_half_husband
201,3,man,happy,2015,second_half_husband
203,128,man,angry,2015,second_half_husband
204,128,man,fear,2015,second_half_husband
205,71,man,angry,2015,second_half_husband
206,125,woman,disgust,2015,second_half_husband
207,125,man,fear,2015,second_half_husband
208,76,man,disgust,2015,second_half_husband
209,140,man,angry,2015,second_half_husband
210,86,man,sad,2015,second_half_husband
213,35,man,happy,2015,second_half_husband
214,36,man,angry,2015,second_half_husband
215,59,woman,fear,2015,second_half_husband
216,52,woman,happy,2015,second_half_husband
219,121,man,sad,2015,second_half_husband
220,70,man,fear,2015,second_half_husband
221,90,woman,angry,2015,second_half_husband
222,53,man,angry,2015,second_half_husband
226,116,man,angry,2015,second_half_husband
227,135,woman,fear,2015,second_half_husband
228,135,man,fear,2015,second_half_husband
229,56,woman,sad,2015,second_half_husband
230,56,woman,happy,2015,second_half_husband
234,129,man,fear,2015,second_half_husband
235,129,man,angry,2015,second_half_husband
236,129,man,fear,2015,second_half_husband
238,37,man,fear,2015,second_half_husband
239,83,man,angry,2015,second_half_husband
240,13,woman,fear,2015,second_half_husband
242,7,woman,angry,2015,second_half_husband
243,133,woman,fear,2015,second_half_husband
245,136,man,fear,2015,second_half_husband
246,136,man,fear,2015,second_half_husband
248,0,man,happy,2015,second_half_husband
249,17,woman,fear,2015,second_half_husband
251,10,woman,sad,2015,second_half_husband
252,134,woman,fear,2015,second_half_husband
254,9,man,happy,2015,second_half_husband
255,100,man,happy,2015,second_half_husband
256,32,man,happy,2015,second_half_husband
259,127,man,angry,2015,second_half_husband
